source_path,section,corpus_id,type,primary_workbook
web/www/horas/Ordinarium/Vespera.txt,Oratio{ex Proprio de Tempore},shared-adb03f225be888779632,prayer,workbooks/by-season/lent-passiontide.md
web/www/horas/Latin/Commune,&lectio(3),shared-adb13308e62d1d3dc051,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Sancti,&lectio(3),shared-adb13308e62d1d3dc051,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Tempora,&lectio(3),shared-adb13308e62d1d3dc051,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Matutinum.txt,Lectio 3,shared-adb13308e62d1d3dc051,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-adbb3375193aa2609175,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Minor.txt,Oratio{ex Proprio Sanctorum},shared-adbb3375193aa2609175,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Special/Major Special.txt,Antiphona repetita ad magnificat,shared-adbb67a054bb81f41ed8,antiphon,workbooks/core/core.md
web/www/horas/Ordinarium/Vespera.txt,Antiphona repetita ad magnificat,shared-adbb67a054bb81f41ed8,antiphon,workbooks/core/core.md
web/www/horas/Latin/Psalterium/Special/Minor Special.txt,Responsorium breve,shared-adc19f67753e7471fcf0,responsory,workbooks/core/high-priority.md
web/www/horas/Ordinarium/Minor.txt,Responsorium breve,shared-adc19f67753e7471fcf0,responsory,workbooks/core/high-priority.md
web/www/horas/Latin/Tempora,&lectio(3),shared-adc2bce6da134d9105c1,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Matutinum.txt,Lectio 3,shared-adc2bce6da134d9105c1,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Pater noster,shared-adcd44c94d352d6efc4a,prayer,workbooks/core/core.md
web/www/horas/Latin/Psalterium/Common/Rubricae.txt,rubrica examen,shared-adcd44c94d352d6efc4a,prayer,workbooks/core/core.md
web/www/horas/Ordinarium/Vespera.txt,Oratio{ex Proprio de Tempore},shared-adcd44c94d352d6efc4a,prayer,workbooks/core/core.md
web/www/horas/Ordinarium/Vespera.txt,Psalmi{Psalmi Dominica & antiphonæ  ex Proprio Sanctorum},shared-addca3c04c278c0f40c3,rubric,workbooks/by-season/christmastide.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Responsorium 1,shared-ade0ad65dc7c45560976,matins-responsory,workbooks/by-season/lent-passiontide.md
web/www/horas/Ordinarium/Matutinum.txt,Responsorium 1,shared-ade0ad65dc7c45560976,matins-responsory,workbooks/by-season/lent-passiontide.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-ade54277d34a4a2fdebc,prayer,workbooks/by-season/advent.md
